DATE,GDP_Per_Capita,NonDefense,Defense,Gov_Total,State_Local,Gov_Transfer
1960-01-01,19614.0,10.957,60.024,143.767,45.97,26.816
1960-04-01,19392.0,11.544,59.522,146.608,47.314,28.228
1960-07-01,19390.0,12.198,61.963,150.351,48.258,27.932
1960-10-01,19065.0,13.197,62.094,153.902,49.039,29.572
1961-01-01,19130.0,11.888,63.393,157.314,50.936,31.096
1961-04-01,19380.0,12.817,63.357,160.098,51.08,32.844
1961-07-01,19670.0,13.175,64.961,161.66500000000002,51.825,31.704
1961-10-01,19970.0,13.464,66.462,165.32,53.591,31.804
1962-01-01,20254.0,14.167,69.164,169.647,53.776,32.54
1962-04-01,20366.0,15.211,68.916,171.434,54.299,33.008
1962-07-01,20536.0,16.573,70.445,174.192,55.033,32.14
1962-10-01,20521.0,17.318,70.278,176.92600000000002,55.966,33.364
1963-01-01,20677.0,16.82,69.388,178.516,57.517,34.792
1963-04-01,20842.0,16.868,68.896,179.04000000000002,58.368,34.908
1963-07-01,21219.0,19.03,70.846,183.191,60.051,33.264
1963-10-01,21276.0,18.773,70.88,185.097,61.336,34.108
1964-01-01,21657.0,19.702,70.383,187.558,62.469,35.004
1964-04-01,21824.0,20.75,69.375,189.942,64.189,35.628
1964-07-01,22085.0,20.694,70.153,190.52499999999998,65.186,34.492
1964-10-01,22075.0,20.967,69.002,191.27999999999997,66.184,35.128
1965-01-01,22547.0,21.462,68.031,193.377,67.532,36.352
1965-04-01,22770.0,21.953,68.163,197.488,69.692,37.68
1965-07-01,23198.0,23.319,71.157,206.15699999999998,72.285,39.396
1965-10-01,23656.0,23.718,74.979,211.011,73.922,38.392
1966-01-01,24172.0,23.722,77.48,216.82,75.83,39.788
1966-04-01,24191.0,24.875,79.135,223.111,77.649,41.452
1966-07-01,24321.0,24.321,85.613,230.734,79.533,41.268
1966-10-01,24446.0,23.498,87.657,238.929,82.466,45.308
1967-01-01,24602.0,25.703,92.232,251.172,84.654,48.584
1967-04-01,24556.0,24.419,93.499,253.611,85.893,49.8
1967-07-01,24719.0,24.302,96.659,259.327,87.418,50.948
1967-10-01,24836.0,25.465,97.745,265.185,90.084,51.892
1968-01-01,25288.0,25.947,100.462,274.153,93.34,54.404
1968-04-01,25652.0,25.639,101.515,281.797,96.483,58.16
1968-07-01,25781.0,27.068,101.469,286.998,98.832,59.628
1968-10-01,25813.0,27.769,101.98,292.791,101.598,61.444
1969-01-01,26162.0,28.346,101.262,295.093,104.096,61.388
1969-04-01,26181.0,28.922,100.86,300.93100000000004,107.076,64.072
1969-07-01,26281.0,29.944,103.448,306.731,109.143,64.196
1969-10-01,26076.0,29.291,102.7,309.598,110.848,66.76
1970-01-01,25973.0,30.723,102.837,315.749,114.33,67.86
1970-04-01,25929.0,32.156,99.604,327.923,117.383,78.78
1970-07-01,26079.0,32.446,99.914,333.932,122.224,79.348
1970-10-01,25710.0,33.054,100.486,341.824,125.168,83.116
1971-01-01,26328.0,33.869,99.478,347.70899999999995,128.558,85.804
1971-04-01,26394.0,36.412,97.839,359.738,131.867,93.62
1971-07-01,26529.0,38.171,97.432,363.039,134.18,93.256
1971-10-01,26510.0,37.481,97.231,368.327,137.355,96.26
1972-01-01,26932.0,40.055,101.361,382.368,140.811,100.14
1972-04-01,27478.0,40.925,103.31,385.916,142.229,99.452
1972-07-01,27666.0,41.036,97.727,386.044,145.552,101.728
1972-10-01,28055.0,41.711,100.456,402.22900000000004,149.582,110.48
1973-01-01,28687.0,42.918,103.436,411.091,153.217,111.52
1973-04-01,28935.0,43.162,103.355,418.041,156.192,115.332
1973-07-01,28711.0,43.746,100.495,420.369,159.949,116.18
1973-10-01,28913.0,44.374,103.255,430.269,164.963,117.676
1974-01-01,28606.0,46.492,106.194,447.73400000000004,171.899,123.148
1974-04-01,28613.0,46.05,108.827,470.177,180.08,135.22
