DATE,GDP_PC_PCH,NonDefense_PCH,Defense_PCH,Gov_Total_PCH,State_Local_PCH,Gov_Transfer_PCH
1960-01-01,1.64801,-14.93012,-1.52897,-1.39704,2.67578,0.18057
1960-04-01,-1.13184,5.35731,-0.83633,1.22188,2.92365,36.80606
1960-07-01,-0.01031,5.66528,4.101,3.41189,1.99518,-19.49934
1960-10-01,-1.67612,8.18987,0.21142,1.56103,1.61838,9.03437
1961-01-01,0.34094,-9.91892,2.09199,1.51854,3.86835,-2.13149
1961-04-01,1.30685,7.8146,-0.05679,0.8208,0.28271,11.96319
1961-07-01,1.49639,2.79317,2.53169,2.12724,1.4585,-4.43836
1961-10-01,1.52517,2.19355,2.31062,2.73544,3.40762,9.43234
1962-01-01,1.42213,5.22133,4.06548,2.68957,0.34521,5.39691
1962-04-01,0.55298,7.36924,-0.35857,0.96202,0.97255,2.58514
1962-07-01,0.83472,8.95405,2.21864,2.61945,1.35177,-2.59268
1962-10-01,-0.07304,4.49526,-0.23706,1.06299,1.69535,47.28856
1963-01-01,0.7602,-2.87562,-1.2664,0.11284,2.77133,-28.05269
1963-04-01,0.79799,0.28537,-0.70906,0.28388,1.47956,-21.64319
1963-07-01,1.80885,12.81717,2.83035,4.02062,2.88343,4.284
1963-10-01,0.26863,-1.3505,0.04799,0.70834,2.13985,-4.1942
1964-01-01,1.79075,4.9486,-0.70119,1.0365,1.8472,2.48876
1964-04-01,0.77111,5.31926,-1.43216,1.15369,2.75337,1.40433
1964-07-01,1.19593,-0.26988,1.12144,1.11396,1.55323,0.28852
1964-10-01,-0.04528,1.31922,-1.6407,0.07627,1.531,-11.47871
1965-01-01,2.13817,2.36085,-1.40721,0.55907,2.03675,6.53234
1965-04-01,0.98905,2.28776,0.19403,1.77233,3.19848,6.89445
1965-07-01,1.87967,6.22238,4.39241,4.35085,3.72066,-5.70776
1965-10-01,1.97431,1.71105,5.37122,3.51281,2.26465,2.93584
1966-01-01,2.18126,0.01686,3.3356,2.5565,2.5811,0.0
1966-04-01,0.0786,4.86047,2.13604,2.61365,2.39879,0.32343
1966-07-01,0.53739,-2.22714,8.18601,4.29761,2.4263,3.39977
1966-10-01,0.51396,-3.38391,2.38749,2.19301,3.68778,3.85488
1967-01-01,0.63814,9.38378,5.21921,4.63121,2.65321,3.02948
1967-04-01,-0.18698,-4.99553,1.37371,0.60369,1.4636,5.90728
1967-07-01,0.66379,-0.47914,3.37972,2.24129,1.77546,4.75238
1967-10-01,0.47332,4.78561,1.12354,2.3582,3.04972,2.65043
1968-01-01,1.81994,1.89279,2.77968,3.02682,3.6144,-2.20982
1968-04-01,1.43942,-1.18704,1.04816,1.76929,3.36726,0.14272
1968-07-01,0.50288,5.57354,-0.04531,1.66922,2.43463,-0.21378
1968-10-01,0.12412,2.58977,0.5036,1.74913,2.79869,1.49964
1969-01-01,1.35203,2.07786,-0.70406,1.01925,2.45871,2.11069
1969-04-01,0.07262,2.03203,-0.39699,1.34956,2.86274,2.27377
1969-07-01,0.38196,3.53364,2.56593,2.39636,1.9304,1.54952
1969-10-01,-0.78003,-2.18074,-0.72307,0.12493,1.56217,3.22866
1970-01-01,-0.395,4.88887,0.1334,2.07999,3.14124,8.22622
1970-04-01,-0.16941,4.66426,-3.14381,0.50587,2.67034,-0.61362
1970-07-01,0.5785,0.90185,0.31123,2.18389,4.12411,6.15415
1970-10-01,-1.41493,1.87388,0.57249,1.6199,2.40869,6.17261
1971-01-01,2.40373,2.46566,-1.00312,1.23576,2.70836,8.6411
1971-04-01,0.25068,7.50834,-1.6476,1.6086,2.57394,1.7404
1971-07-01,0.51148,4.83083,-0.41599,1.37721,1.75404,-1.9984
1971-10-01,-0.07162,-1.80766,-0.2063,0.84661,2.36622,9.47798
1972-01-01,1.59185,6.86748,4.24762,3.73474,2.51611,0.23841
1972-04-01,2.02733,2.17201,1.92283,1.50091,1.00702,-1.84332
1972-07-01,0.68418,0.27123,-5.40412,-0.74983,2.33637,4.14963
1972-10-01,1.40606,1.6449,2.79247,2.61434,2.76877,-2.51563
1973-01-01,2.25272,2.89372,2.96647,2.68107,2.43011,5.26551
1973-04-01,0.8645,0.56853,-0.07831,1.0475,1.94169,-1.0486
1973-07-01,-0.77415,1.35304,-2.76716,0.48892,2.40537,5.8714
1973-10-01,0.70356,1.43556,2.74641,2.76276,3.13475,5.15352
1974-01-01,-1.06181,4.77307,2.84635,3.83662,4.20458,5.6213
1974-04-01,0.02447,-0.9507,2.47942,3.19515,4.75919,-3.47095
1974-07-01,-1.19876,8.75787,1.37282,3.50881,3.45735,0.31542
1974-10-01,-0.64379,6.09588,3.54783,3.61051,2.98004,2.31417
1975-01-01,-1.41698,0.80924,0.7292,3.03707,5.02768,1.43823
1975-04-01,0.47309,2.9459,-0.71262,0.88345,1.24663,-2.62967
1975-07-01,1.4126,1.77535,5.03116,3.20989,2.57774,3.80834
1975-10-01,1.08457,3.66516,2.16341,2.64067,2.63959,4.28006
1976-01-01,2.03015,0.86112,0.26755,1.44601,2.27748,0.33341
1976-04-01,0.51892,0.67143,0.41246,-0.07625,-0.55032,-4.70952
1976-07-01,0.2906,1.0749,1.40731,0.63145,0.07369,2.53728
1976-10-01,0.45679,3.71127,2.50391,1.80934,0.89278,2.62695
1977-01-01,0.95015,1.15945,2.56278,2.52764,2.89082,1.78265
1977-04-01,1.69754,3.44806,1.9303,2.41214,2.40514,-3.1885
1977-07-01,1.51715,2.69736,0.91034,1.54209,1.58499,1.84391
1977-10-01,-0.28327,4.7677,0.90656,1.99423,1.83597,3.4844
1978-01-01,0.08816,0.48763,1.57863,1.30722,1.39073,3.65317
1978-04-01,3.60161,3.95633,3.9184,4.35251,4.713,4.55414
1978-07-01,0.70851,2.64426,2.18082,2.52833,2.69151,-2.54848
1978-10-01,1.05059,3.39205,2.1784,2.48064,2.39095,3.63617
1979-01-01,-0.07426,0.83442,2.1386,1.12385,0.63817,4.18217
1979-04-01,-0.15483,1.30607,3.17293,2.92736,3.25503,-0.44389
1979-07-01,0.44039,2.58859,2.56658,3.2135,3.7583,9.78967
1979-10-01,-0.06176,1.26904,2.84042,2.75161,3.11701,7.23051
1980-01-01,0.03399,4.69683,4.7033,3.83479,3.11092,2.50288
1980-04-01,-2.33499,10.09,3.87265,3.47515,1.40259,2.30522
1980-07-01,-0.41744,-2.39231,1.00736,0.61541,1.29794,1.85287
