DATE,A084RC1Q027SBEA
1960-01-01,26.816
1960-04-01,28.228
1960-07-01,27.932
1960-10-01,29.572
1961-01-01,31.096
1961-04-01,32.844
1961-07-01,31.704
1961-10-01,31.804
1962-01-01,32.54
1962-04-01,33.008
1962-07-01,32.14
1962-10-01,33.364
1963-01-01,34.792
1963-04-01,34.908
1963-07-01,33.264
1963-10-01,34.108
1964-01-01,35.004
1964-04-01,35.628
1964-07-01,34.492
1964-10-01,35.128
1965-01-01,36.352
1965-04-01,37.68
1965-07-01,39.396
1965-10-01,38.392
1966-01-01,39.788
1966-04-01,41.452
1966-07-01,41.268
1966-10-01,45.308
1967-01-01,48.584
1967-04-01,49.8
1967-07-01,50.948
1967-10-01,51.892
1968-01-01,54.404
1968-04-01,58.16
1968-07-01,59.628
1968-10-01,61.444
1969-01-01,61.388
1969-04-01,64.072
1969-07-01,64.196
1969-10-01,66.76
1970-01-01,67.86
1970-04-01,78.78
1970-07-01,79.348
1970-10-01,83.116
1971-01-01,85.804
1971-04-01,93.62
1971-07-01,93.256
1971-10-01,96.26
1972-01-01,100.14
1972-04-01,99.452
1972-07-01,101.728
1972-10-01,110.48
1973-01-01,111.52
1973-04-01,115.332
1973-07-01,116.18
1973-10-01,117.676
1974-01-01,123.148
1974-04-01,135.22
1974-07-01,139.064
1974-10-01,146.06
1975-01-01,158.664
1975-04-01,175.656
1975-07-01,173.328
1975-10-01,177.376
1976-01-01,180.523
1976-04-01,179.451
1976-07-01,189.931
1976-10-01,188.763
1977-01-01,191.82
1977-04-01,193.588
1977-07-01,198.892
1977-10-01,200.932
1978-01-01,205.228
1978-04-01,206.712
1978-07-01,214.872
1978-10-01,217.832
1979-01-01,223.019
1979-04-01,227.835
1979-07-01,243.483
1979-10-01,250.579
1980-01-01,262.349
1980-04-01,265.377
1980-07-01,298.061
1980-10-01,303.697
1981-01-01,306.331
1981-04-01,309.423
1981-07-01,328.747
1981-10-01,330.535
1982-01-01,336.473
1982-04-01,344.369
1982-07-01,361.305
1982-10-01,379.145
1983-01-01,378.142
1983-04-01,384.898
1983-07-01,380.994
1983-10-01,388.186
1984-01-01,388.32
1984-04-01,391.444
1984-07-01,395.704
1984-10-01,407.724
1985-01-01,413.51
1985-04-01,417.31
1985-07-01,424.542
1985-10-01,428.266
1986-01-01,434.969
1986-04-01,445.337
1986-07-01,453.465
1986-10-01,455.041
1987-01-01,456.953
1987-04-01,463.277
1987-07-01,465.157
1987-10-01,474.245
1988-01-01,486.625
1988-04-01,488.541
1988-07-01,495.701
1988-10-01,507.685
1989-01-01,525.371
1989-04-01,531.195
1989-07-01,544.003
1989-10-01,558.427
1990-01-01,575.472
1990-04-01,591.328
1990-07-01,599.992
1990-10-01,610.676
1991-01-01,554.288
1991-04-01,619.852
1991-07-01,656.368
1991-10-01,694.108
1992-01-01,732.531
1992-04-01,754.443
1992-07-01,764.535
1992-10-01,782.595
1993-01-01,788.75
1993-04-01,796.518
1993-07-01,813.77
1993-10-01,828.266
1994-01-01,826.232
1994-04-01,832.964
1994-07-01,840.428
1994-10-01,870.3
1995-01-01,880.336
1995-04-01,887.052
1995-07-01,893.02
1995-10-01,887.188
1996-01-01,923.915
1996-04-01,935.635
1996-07-01,932.207
1996-10-01,945.351
1997-01-01,951.848
1997-04-01,952.84
1997-07-01,959.408
1997-10-01,976.8
1998-01-01,974.153
1998-04-01,977.737
1998-07-01,981.873
1998-10-01,1002.597
1999-01-01,1005.641
1999-04-01,1009.059
1999-07-01,1019.637
1999-10-01,1034.434
2000-01-01,1040.039
2000-04-01,1067.391
2000-07-01,1080.941
2000-10-01,1098.447
2001-01-01,1132.753
2001-04-01,1164.245
2001-07-01,1171.823
2001-10-01,1221.14
2002-01-01,1254.012
2002-04-01,1274.453
2002-07-01,1286.916
2002-10-01,1305.929
2003-01-01,1326.883
2003-04-01,1346.299
2003-07-01,1366.561
2003-10-01,1372.316
2004-01-01,1416.591
2004-04-01,1433.383
